,precision,recall,f1,accuracy
Decision Tree,0.8673469387755102,0.7798165137614679,0.821256038647343,0.7989130434782609
Random Forest,0.8867924528301887,0.8623853211009175,0.8744186046511627,0.8532608695652174
Gradient Boosting,0.8761904761904762,0.8440366972477065,0.8598130841121495,0.8369565217391305
Logistic Regression,0.88,0.8073394495412844,0.8421052631578948,0.8206521739130435
XGBClassifier,0.8921568627450981,0.8348623853211009,0.8625592417061612,0.842391304347826
AdaBoost Classifier,0.8613861386138614,0.7981651376146789,0.8285714285714286,0.8043478260869565
Naive Bayes,0.8854166666666666,0.7798165137614679,0.8292682926829269,0.8097826086956522
KNN,0.875,0.8348623853211009,0.8544600938967136,0.8315217391304348
SVC,0.8865979381443299,0.7889908256880734,0.8349514563106795,0.8152173913043478
